                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.91972,                0.52626,                0.82536,                 1.2481,                0.62893,                0.82006,                0.88007,                0.82269,                 0.8815,                0.64251,                0.77967,                0.41673,                0.81121,                 1.0441,                0.50276,                0.80497,               0.006733,               0.006733,               0.006733
                     69,                0.91957,                0.52668,                0.82876,                 1.2436,                0.62953,                 0.8219,                0.88555,                0.81896,                 0.8819,                0.64289,                 0.7785,                0.41674,                0.81099,                 1.0428,                0.50323,                0.80473,              0.0066835,              0.0066835,              0.0066835
                     70,                 0.9123,                0.51488,                0.82378,                 1.2354,                0.61221,                0.81882,                0.88219,                0.82163,                0.88219,                0.64262,                0.77807,                0.41654,                0.81082,                 1.0426,                0.50116,                0.80471,               0.006634,               0.006634,               0.006634
                     71,                0.91236,                0.51571,                0.82542,                 1.2421,                0.62227,                0.81852,                0.87797,                0.82397,                0.88274,                0.64327,                0.77826,                0.41605,                0.81085,                  1.042,                0.49997,                0.80464,              0.0065845,              0.0065845,              0.0065845
                     72,                0.91262,                0.52109,                0.82531,                 1.2505,                0.62644,                0.81943,                0.88269,                0.82127,                0.88198,                0.64311,                0.77719,                0.41561,                0.81072,                 1.0403,                0.50033,                0.80447,               0.006535,               0.006535,               0.006535
                     73,                0.90788,                0.52086,                0.82565,                 1.2395,                0.62501,                0.81996,                0.87852,                0.82566,                0.88265,                0.64372,                0.77653,                0.41511,                0.81058,                 1.0392,                0.49928,                 0.8042,              0.0064855,              0.0064855,              0.0064855
                     74,                0.90672,                0.51881,                0.82302,                 1.2403,                0.62976,                0.81839,                0.88606,                0.81598,                0.88308,                0.64385,                0.77657,                0.41457,                0.81046,                 1.0386,                 0.4995,                0.80411,               0.006436,               0.006436,               0.006436
                     75,                0.91056,                0.51646,                0.82302,                 1.2315,                0.61295,                0.81887,                0.88266,                0.81807,                0.88268,                0.64393,                0.77593,                0.41382,                 0.8104,                  1.037,                0.50001,                0.80403,              0.0063865,              0.0063865,              0.0063865
                     76,                 0.9034,                0.50908,                0.82443,                 1.2349,                 0.6092,                0.81911,                0.87967,                0.82038,                0.88282,                0.64392,                0.77571,                0.41311,                0.81034,                 1.0368,                0.49819,                0.80405,               0.006337,               0.006337,               0.006337
                     77,                0.91529,                0.51866,                0.82506,                 1.2461,                0.62445,                0.82018,                0.88619,                0.81736,                0.88343,                0.64461,                0.77511,                0.41257,                0.81029,                  1.036,                 0.4963,                0.80399,              0.0062875,              0.0062875,              0.0062875
                     78,                0.90279,                0.51206,                0.82192,                 1.2382,                0.61752,                0.81685,                0.88947,                0.81435,                0.88399,                0.64509,                0.77427,                0.41202,                0.81018,                 1.0351,                 0.4956,                0.80391,               0.006238,               0.006238,               0.006238
                     79,                0.90731,                0.50806,                0.82287,                 1.2312,                0.60838,                0.81575,                0.89252,                0.81221,                0.88459,                0.64539,                0.77381,                0.41183,                0.81016,                 1.0337,                0.49515,                 0.8038,              0.0061885,              0.0061885,              0.0061885
                     80,                0.90901,                0.51724,                0.82219,                 1.2409,                0.62597,                0.81713,                0.89057,                0.81505,                 0.8849,                 0.6454,                0.77351,                0.41135,                0.81012,                 1.0327,                0.49466,                0.80372,               0.006139,               0.006139,               0.006139
                     81,                0.89799,                0.50644,                0.82095,                 1.2224,                0.60853,                0.81683,                0.89099,                0.81542,                 0.8854,                0.64577,                0.77315,                0.41073,                0.81004,                  1.032,                0.49365,                 0.8037,              0.0060895,              0.0060895,              0.0060895
                     82,                0.89038,                0.50389,                0.82368,                 1.2118,                0.60502,                0.81731,                0.88629,                0.81917,                 0.8861,                0.64624,                 0.7729,                 0.4101,                   0.81,                  1.032,                0.49196,                0.80369,                0.00604,                0.00604,                0.00604
                     83,                0.91342,                0.51928,                0.82242,                 1.2397,                0.62599,                0.81659,                0.88925,                0.81822,                0.88653,                0.64684,                0.77278,                0.40988,                0.81002,                 1.0308,                 0.4916,                0.80362,              0.0059905,              0.0059905,              0.0059905
                     84,                0.89517,                0.50349,                0.82026,                 1.2192,                0.60645,                0.81459,                0.88597,                0.82002,                0.88668,                0.64706,                0.77214,                0.40941,                0.80991,                 1.0297,                0.49162,                0.80355,               0.005941,               0.005941,               0.005941
                     85,                0.89082,                0.50569,                0.82419,                 1.2155,                0.61407,                0.81765,                0.89223,                0.81576,                0.88644,                0.64691,                0.77156,                0.40888,                0.80988,                 1.0289,                0.49108,                0.80355,              0.0058915,              0.0058915,              0.0058915
                     86,                0.90362,                0.50845,                0.82339,                 1.2218,                0.60684,                 0.8167,                0.88934,                  0.817,                0.88631,                0.64684,                0.77125,                0.40875,                0.80979,                 1.0282,                0.49245,                0.80348,               0.005842,               0.005842,               0.005842
                     87,                0.88751,                 0.5059,                 0.8203,                 1.2079,                0.60887,                0.81435,                0.89047,                0.81629,                0.88659,                0.64763,                0.77079,                0.40834,                0.80972,                 1.0278,                 0.4911,                0.80343,              0.0057925,              0.0057925,              0.0057925
                     88,                0.89529,                0.50365,                 0.8222,                 1.2205,                0.62203,                0.81644,                0.89068,                0.81896,                0.88704,                0.64794,                0.77022,                0.40767,                0.80958,                 1.0272,                0.49057,                0.80338,               0.005743,               0.005743,               0.005743
                     89,                0.90631,                0.50824,                0.82195,                 1.2264,                0.61504,                0.81677,                0.88878,                0.81967,                  0.887,                0.64818,                 0.7697,                0.40705,                0.80952,                  1.027,                0.48977,                0.80338,              0.0056935,              0.0056935,              0.0056935
                     90,                0.90244,                0.50635,                0.82296,                 1.2166,                0.59868,                0.81861,                0.89019,                0.81892,                0.88696,                0.64855,                0.76922,                0.40673,                0.80944,                 1.0263,                0.48999,                0.80331,               0.005644,               0.005644,               0.005644
                     91,                0.88758,                0.49717,                0.82289,                  1.205,                 0.5939,                0.81554,                0.89061,                0.81949,                 0.8869,                0.64859,                0.76884,                0.40639,                0.80936,                  1.026,                0.48936,                 0.8032,              0.0055945,              0.0055945,              0.0055945
